cuda
Device: cuda
step: 0, loss: 0.6752131581306458
step: 10, loss: 0.4333142638206482
step: 20, loss: 0.2287185937166214
step: 30, loss: 0.05106734111905098
step: 40, loss: 0.13279768824577332
step: 50, loss: 0.01483492273837328
step: 60, loss: 0.004794582258909941
step: 70, loss: 0.010635502636432648
step: 80, loss: 0.049482688307762146
step: 90, loss: 0.2260010838508606
step: 100, loss: 0.008539301343262196
step: 110, loss: 0.004433757159858942
step: 120, loss: 0.0075797731988132
step: 130, loss: 0.03407090902328491
step: 140, loss: 0.05862808972597122
step: 150, loss: 0.006809251382946968
step: 160, loss: 0.0011411161394789815
step: 170, loss: 0.004468237515538931
step: 180, loss: 0.020240481942892075
step: 190, loss: 0.009371514432132244
step: 200, loss: 0.001150063588283956
step: 210, loss: 0.0029560131952166557
step: 220, loss: 0.03232569620013237
step: 230, loss: 0.005218318663537502
step: 240, loss: 0.007336147129535675
step: 250, loss: 0.0018320042872801423
step: 260, loss: 0.0006428596680052578
step: 270, loss: 0.012237529270350933
step: 280, loss: 0.015184197574853897
step: 290, loss: 0.08796148747205734
step: 300, loss: 0.00900769978761673
step: 310, loss: 0.030923420563340187
step: 320, loss: 0.0027763627003878355
step: 330, loss: 0.001210224349051714
step: 340, loss: 0.0003570858098100871
step: 350, loss: 0.05552727356553078
step: 360, loss: 0.006195761263370514
step: 370, loss: 0.036109644919633865
step: 380, loss: 0.0027760763186961412
step: 390, loss: 0.0006031711818650365
step: 400, loss: 0.26727715134620667
step: 410, loss: 0.01271654013544321
step: 420, loss: 0.008671052753925323
step: 430, loss: 0.0023806581739336252
step: 440, loss: 0.0004920694045722485
step: 450, loss: 0.0015817990060895681
step: 460, loss: 0.021404223516583443
step: 470, loss: 0.04826352000236511
step: 480, loss: 0.0012488490901887417
step: 490, loss: 0.057785697281360626
step: 500, loss: 0.0003484208427835256
step: 510, loss: 0.006935399491339922
step: 520, loss: 0.0027418758254498243
step: 530, loss: 0.00024694460444152355
step: 540, loss: 0.000556361221242696
