cuda
Device: cuda
step: 0, loss: 0.712899386882782
step: 10, loss: 0.24902769923210144
step: 20, loss: 0.11387879401445389
step: 30, loss: 0.14543887972831726
step: 40, loss: 0.08625542372465134
step: 50, loss: 0.009396609850227833
step: 60, loss: 0.004646462853997946
step: 70, loss: 0.04393128678202629
step: 80, loss: 0.0024008224718272686
step: 90, loss: 0.05475897714495659
step: 100, loss: 0.002877632388845086
step: 110, loss: 0.003077381756156683
step: 120, loss: 0.007466666866093874
step: 130, loss: 0.0019472843268886209
step: 140, loss: 0.01550007052719593
step: 150, loss: 0.009527674876153469
step: 160, loss: 0.0069756098091602325
step: 170, loss: 0.09561923891305923
step: 180, loss: 0.14775244891643524
step: 190, loss: 0.00817517377436161
step: 200, loss: 0.014117556624114513
step: 210, loss: 0.0007047203253023326
step: 220, loss: 0.016199802979826927
step: 230, loss: 0.0015177135355770588
step: 240, loss: 0.10926729440689087
step: 250, loss: 0.00038350472459569573
step: 260, loss: 0.04336303845047951
step: 270, loss: 0.0013501914218068123
step: 280, loss: 0.0020839523058384657
step: 290, loss: 0.0074191829189658165
step: 300, loss: 0.049359071999788284
step: 310, loss: 0.002436959883198142
step: 320, loss: 0.0093381991609931
step: 330, loss: 0.08098149299621582
step: 340, loss: 0.049805715680122375
step: 350, loss: 0.0019598377402871847
step: 360, loss: 0.0035908075515180826
step: 370, loss: 0.0006994431605562568
step: 380, loss: 0.0050857290625572205
step: 390, loss: 0.005726022645831108
step: 400, loss: 0.003805421758443117
step: 410, loss: 0.07865111529827118
step: 420, loss: 0.0005004446720704436
step: 430, loss: 0.007118078880012035
step: 440, loss: 0.0006118557648733258
step: 450, loss: 0.002732035471126437
step: 460, loss: 0.005713318940252066
step: 470, loss: 0.11204152554273605
step: 480, loss: 0.0012402655556797981
step: 490, loss: 0.19930888712406158
step: 500, loss: 0.02098787948489189
step: 510, loss: 0.0005459932726807892
step: 520, loss: 0.06478479504585266
step: 530, loss: 0.0004997214418835938
step: 540, loss: 0.0003650942526292056
