cuda
Device: cuda
step: 0, loss: 0.8766293525695801
step: 10, loss: 0.5318470597267151
step: 20, loss: 0.4073415994644165
step: 30, loss: 0.2404760718345642
step: 40, loss: 0.19945228099822998
step: 50, loss: 0.07580268383026123
step: 60, loss: 0.05336202681064606
step: 70, loss: 0.07498535513877869
step: 80, loss: 0.06896424293518066
step: 90, loss: 0.11757650971412659
step: 100, loss: 0.014236163347959518
step: 110, loss: 0.012820971198379993
step: 120, loss: 0.014703505672514439
step: 130, loss: 0.07917648553848267
step: 140, loss: 0.049218740314245224
