cuda
Device: cuda
step: 0, loss: 0.7646878957748413
step: 10, loss: 0.42749637365341187
step: 20, loss: 0.3773946762084961
step: 30, loss: 0.1328355371952057
step: 40, loss: 0.13026213645935059
step: 50, loss: 0.1555875986814499
step: 60, loss: 0.02445065975189209
step: 70, loss: 0.016785724088549614
step: 80, loss: 0.18681395053863525
step: 90, loss: 0.22384139895439148
step: 100, loss: 0.10545945912599564
step: 110, loss: 0.035956695675849915
step: 120, loss: 0.12181659787893295
step: 130, loss: 0.016404658555984497
step: 140, loss: 0.04349636286497116
