cuda
Device: cuda
step: 0, loss: 0.6818460822105408
step: 10, loss: 0.6065388917922974
step: 20, loss: 0.6292288303375244
step: 30, loss: 0.2193075269460678
step: 40, loss: 0.0618717223405838
step: 50, loss: 0.06916695088148117
step: 60, loss: 0.1349111795425415
step: 70, loss: 0.02477046102285385
step: 80, loss: 0.062069013714790344
step: 90, loss: 0.21072186529636383
step: 100, loss: 0.02358119934797287
step: 110, loss: 0.06140884757041931
step: 120, loss: 0.0522906593978405
step: 130, loss: 0.006725090555846691
step: 140, loss: 0.08662202209234238
