cuda
Device: cuda
step: 0, loss: 0.662195086479187
step: 10, loss: 0.5501676201820374
step: 20, loss: 0.3571160137653351
step: 30, loss: 0.15460969507694244
step: 40, loss: 0.17671145498752594
step: 50, loss: 0.21558183431625366
step: 60, loss: 0.014305934309959412
step: 70, loss: 0.15975891053676605
step: 80, loss: 0.1518300175666809
step: 90, loss: 0.19967351853847504
step: 100, loss: 0.1547803431749344
step: 110, loss: 0.015587249770760536
step: 120, loss: 0.03849399834871292
step: 130, loss: 0.009930813685059547
step: 140, loss: 0.06711214780807495
