cuda
Device: cuda
step: 0, loss: 0.9246240258216858
step: 10, loss: 0.5581564903259277
step: 20, loss: 0.5431193113327026
step: 30, loss: 0.5639920830726624
step: 40, loss: 0.4570329189300537
step: 50, loss: 0.4669937491416931
step: 60, loss: 0.4023537337779999
step: 70, loss: 0.48027729988098145
step: 80, loss: 0.5649018287658691
step: 90, loss: 0.15689274668693542
step: 100, loss: 0.33445078134536743
step: 110, loss: 0.12582656741142273
step: 120, loss: 0.2418871819972992
step: 130, loss: 0.10182347893714905
step: 140, loss: 0.06455057859420776
