cuda
Device: cuda
step: 0, loss: 0.5844587087631226
step: 10, loss: 0.5915088057518005
step: 20, loss: 0.5510004162788391
step: 30, loss: 0.48738184571266174
step: 40, loss: 0.4576961398124695
step: 50, loss: 0.19606368243694305
step: 60, loss: 0.07650866359472275
step: 70, loss: 0.18583491444587708
step: 80, loss: 0.12753623723983765
step: 90, loss: 0.189875990152359
step: 100, loss: 0.13615718483924866
step: 110, loss: 0.12314122170209885
step: 120, loss: 0.11875699460506439
step: 130, loss: 0.07103338837623596
step: 140, loss: 0.21650345623493195
