cuda
Device: cuda
step: 0, loss: 0.7225202918052673
step: 10, loss: 0.6296265125274658
step: 20, loss: 0.6346842646598816
step: 30, loss: 0.5869462490081787
step: 40, loss: 0.5002772808074951
step: 50, loss: 0.40306755900382996
step: 60, loss: 0.20441685616970062
step: 70, loss: 0.23354440927505493
step: 80, loss: 0.03265369310975075
step: 90, loss: 0.12097764760255814
step: 100, loss: 0.18220233917236328
step: 110, loss: 0.027750253677368164
step: 120, loss: 0.04004662111401558
step: 130, loss: 0.06442196667194366
step: 140, loss: 0.0981241762638092
