cuda
Device: cuda
step: 0, loss: 0.6279810667037964
step: 10, loss: 0.4266258478164673
step: 20, loss: 0.1946072280406952
step: 30, loss: 0.11944933980703354
step: 40, loss: 0.06273264437913895
step: 50, loss: 0.06274588406085968
step: 60, loss: 0.03576148301362991
step: 70, loss: 0.09133527427911758
step: 80, loss: 0.049476705491542816
step: 90, loss: 0.16806745529174805
step: 100, loss: 0.059199731796979904
step: 110, loss: 0.05634230002760887
step: 120, loss: 0.02774292230606079
step: 130, loss: 0.13760431110858917
step: 140, loss: 0.010982071049511433
